Affiliation,AuthorCount,UniqueAuthorCount,AuthorContributionSum,PaperCount
Nokia,119,80,35.0,55
LMU Munich,122,69,30.0,50
Microsoft,92,67,23.0,33
University of Glasgow,83,41,25.0,32
University of Lancaster,62,37,16.0,26
Carnegie Mellon University,58,42,13.0,26
Tampere University,67,39,17.0,22
University of Stuttgart,43,20,11.0,19
Telefonica,33,14,12.0,18
University of Washington,26,23,7.0,18
University of Bremen,35,25,10.0,17
Aalborg University,46,28,13.0,17
National Taiwan University,84,60,13.0,17
University of Oldenburg,40,18,10.0,16
Korea Advanced Institute of Science & Technology,44,33,11.0,15
University of Manitoba,36,17,8.0,15
Georgia Institute of Technology,45,34,12.0,15
University of Duisburg-Essen,41,24,8.0,14
German Research Center for Artificial Intelligence,35,18,8.0,14
Yahoo,30,24,8.0,14
Google,25,23,9.0,14
Swansea University,44,14,10.0,14
ETH Zurich,36,31,9.0,13
Cornell University,36,30,7.0,13
OFFIS - Institute for IT,21,10,5.0,12
Ulm University,42,21,10.0,12
Aalto University,24,18,6.0,12
University of British Columbia,25,21,6.0,11
University of Waterloo,18,13,5.0,11
IBM,28,22,6.0,11
University of Oulu,25,15,5.0,11
Newcastle University,29,21,6.0,11
Northwestern University,18,10,6.0,10
Chalmers University of Technology,18,10,5.0,10
Utrecht University,14,8,3.0,10
DoCoMo Communications Laboratories Europe GmbH,17,9,4.0,9
Mobile Life Center,18,12,7.0,9
Technical University Berlin,17,14,4.0,9
Massachusetts Institute of Technology,23,21,6.0,9
Technical University of Darmstadt,20,14,4.0,9
Tsinghua University,22,16,5.0,9
University of Udine,22,8,8.0,9
University of Toronto,20,18,5.0,9
Samsung,26,22,5.0,8
Keio University,19,15,4.0,8
Eindhoven University of Technology,20,18,5.0,8
Leibniz University Hannover,25,12,8.0,8
RWTH Aachen University,29,20,8.0,8
Consiglio Nazionale delle Ricerche,18,15,6.0,8
University of Bristol,23,16,5.0,8
University College London,18,18,5.0,8
