Name,Url,PaperCount,AuthorContribution
Enrico Rukzio,https://dl.acm.org/profile/81100239955,25,7.352777777777778
Stephen Anthony Brewster,https://dl.acm.org/profile/81100359199,17,5.866666666666666
Susanne Boll,https://dl.acm.org/profile/81100398416,16,4.116666666666666
Niels Henze,https://dl.acm.org/profile/81350574049,16,4.633333333333333
Pourang Polad Irani,https://dl.acm.org/profile/81100459517,16,3.717099567099567
Jonna Häkkilä,https://dl.acm.org/profile/81100417488,15,3.9095238095238094
Sven Mayer,https://dl.acm.org/profile/99658696530,15,4.641666666666667
Rod Murray-Smith,https://dl.acm.org/profile/81100572841,14,4.35
Albrecht Schmidt,https://dl.acm.org/profile/81100588072,14,2.78015873015873
Michael Rohs,https://dl.acm.org/profile/81314494694,13,4.083333333333333
Paweł W. Woźniak,https://dl.acm.org/profile/87958813957,13,2.6011904761904763
Johannes Schöning,https://dl.acm.org/profile/81508685058,13,3.0444444444444443
Matt Jones,https://dl.acm.org/profile/81328488881,11,2.6095238095238096
Martin Pielot,https://dl.acm.org/profile/81385591697,11,3.783333333333333
Florian Alt,https://dl.acm.org/profile/81436594444,10,2.2095238095238097
Manfred Tscheligi,https://dl.acm.org/profile/81548016789,10,2.65
Simon Robinson,https://dl.acm.org/profile/81371592031,10,2.3595238095238096
Antti Oulasvirta,https://dl.acm.org/profile/81100333050,9,3.136111111111111
Mike Y. Chen,https://dl.acm.org/profile/81460645188,9,1.2119047619047618
Jesper Kjeldskov,https://dl.acm.org/profile/81548020677,9,2.6833333333333336
Kaisa Väänänen,https://dl.acm.org/profile/81100259784,9,2.533333333333333
Luca Chittaro,https://dl.acm.org/profile/81100018179,9,3.583333333333333
Mark Colley,https://dl.acm.org/profile/99659260328,9,2.5416666666666665
Wilko Heuten,https://dl.acm.org/profile/81320490169,9,1.9666666666666668
Stefan Schneegass,https://dl.acm.org/profile/81503680798,8,1.526190476190476
Jennifer Pearson,https://dl.acm.org/profile/81384596881,8,1.8761904761904762
Thad Starner,https://dl.acm.org/profile/81100175439,7,1.6678571428571427
Alexander de Luca,https://dl.acm.org/profile/81318488374,7,1.7833333333333332
Andreas Martin Butz,https://dl.acm.org/profile/81100266654,7,1.8333333333333333
Rodrigo de Oliveira,https://dl.acm.org/profile/81310493550,7,2.5
Nuria Oliver,https://dl.acm.org/profile/81100082450,7,2.8333333333333335
Thomas Olsson,https://dl.acm.org/profile/99659364710,7,1.9833333333333334
Marcos Serrano,https://dl.acm.org/profile/81318491531,7,1.7833333333333332
Jeremy P Birnholtz,https://dl.acm.org/profile/81100651315,7,3.083333333333333
Antonio Krúger,https://dl.acm.org/profile/81548004671,7,1.8666666666666667
Khalad Hasan,https://dl.acm.org/profile/81484647407,7,2.1666666666666665
Gary Marsden,https://dl.acm.org/profile/81452608565,7,2.5
Christian Kray,https://dl.acm.org/profile/81100113217,7,2.017857142857143
Liwei Chan,https://dl.acm.org/profile/99659142992,6,1.592857142857143
