Map,Correct
Israeli,Israel
Korea,"Korea, Republic of"
Republic Of Korea,"Korea, Republic of"
Republic of Korea,"Korea, Republic of"
South Korea,"Korea, Republic of"
Macau,Macao
Netherland,Netherlands
The Netherlands,Netherlands
the Netherlands,Netherlands
Taiwan,"Taiwan, Province of China"
England,United Kingdom of Great Britain and Northern Ireland
Scotland,United Kingdom of Great Britain and Northern Ireland
UK,United Kingdom of Great Britain and Northern Ireland
United Kingdom,United Kingdom of Great Britain and Northern Ireland
Wales,United Kingdom of Great Britain and Northern Ireland
"Wales, UK",United Kingdom of Great Britain and Northern Ireland
US,United States of America
USA,United States of America
United States,United States of America
Vietmam,Viet Nam
Vietnam,Viet Nam
